,IR_generic_id,IR_generic_name,Ingredient,lexi_generic_id,lexi_generic_name,rows_in_db,catgs
2368,17169,PERITONEAL DIALYSIS I SOLUTION PARENTERAL 13.62 g/132 meq/3.5 meq/1.5 meq/35 meq/102 meq/1000 mL 5 L,PERITONEAL DIALYSIS I,None,,,
330,1440,"CO-AMOXICLAV POWDER, FOR SUSPENSION ORAL 250 mg/62.5 mg/5mL 100 mL",CO-AMOXICLAV,None,,,
1244,1166,"SPECTINOMYCIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 g",SPECTINOMYCIN,None,,,
1249,50622,"ASA (ACETYLSALICYLIC ACID) TABLET, DELAYED RELEASE ORAL 81 mg",ASA (ACETYLSALICYLIC ACID),None,,Praxis ASA EC (CAN) | Rivasa (CAN) | Rivasa FC (CAN) | TARO-Dipyridamole w/ ASA (CAN) | TEVA-5 ASA (CAN),
1250,52462,BISMUTH SUBCITRATE EQU. TO BISMUTH OXIDE TABLET ORAL 120 mg,BISMUTH SUBCITRATE EQU. TO BISMUTH OXIDE,None,,,
1268,2149,"LIPID INFUSION 20% (2) INJECTION, SOLUTION INTRAVENOUS 5 %/6 %/6 %/3 % 250 mL",LIPID INFUSION 20% (2),None,,,
1269,14113,TRACE METAL COMBINATION (2-1) INJECTION PARENTERAL 5.33 ug/0.34 mg/0.54 mg/99 ug/16.6 ug/0.21 mg/4.85 ug/6.9 ug/1.36 mg/1mL 10 mL,TRACE METAL COMBINATION (2-1),None,,,
1270,354,CONJUGATED ESTROGENS TABLET ORAL 1.25 mg,CONJUGATED ESTROGENS,None,,Oestrogens (Conjugated A/Synthetic) (INT) | Oestrogens (Conjugated B/Synthetic) (INT),
1277,11614,"VALPROATE SEMISODIUM TABLET, DELAYED RELEASE ORAL 250 mg",VALPROATE SEMISODIUM,None,,,
332,338,CO-AMOXICLAV TABLET ORAL 500 mg/125 mg,CO-AMOXICLAV,None,,,
1279,51919,FUSIDATE SODIUM OINTMENT TOPICAL 2 % 30 g,FUSIDATE SODIUM,None,,,
1280,11611,"VALPROATE SEMISODIUM TABLET, DELAYED RELEASE ORAL 500 mg",VALPROATE SEMISODIUM,None,,,
400,125,VITAMIN B COMPLEX INJECTION PARENTERAL 5 mg/2 mg/2 mg/3 mg/20 mg/1mL 2 mL,VITAMIN B COMPLEX,None,,"Vitamin B Complex and Ascorbic Acid | Vitamin B Complex Combinations | Vitamin B Complex, Ascorbic Acid, and Folic Acid",
1289,106,"ASA (ACETYLSALICYLIC ACID) TABLET, CHEWABLE ORAL 100 mg",ASA (ACETYLSALICYLIC ACID),None,,Praxis ASA EC (CAN) | Rivasa (CAN) | Rivasa FC (CAN) | TARO-Dipyridamole w/ ASA (CAN) | TEVA-5 ASA (CAN),
