,IR_generic_id,IR_generic_name,Ingredient,lexi_generic_id,lexi_generic_name,rows_in_db,catgs
2381,17169,PERITONEAL DIALYSIS I SOLUTION PARENTERAL 13.62 g/132 meq/3.5 meq/1.5 meq/35 meq/102 meq/1000 mL 5 L,PERITONEAL DIALYSIS I,None,,,
1413,14111,TRACE METAL COMBINATION (3) INJECTION PARENTERAL 521 ug/53.7 ug/3.6 ug/4.38 ug/126 ug/1.31 ug/1mL 10 mL,TRACE METAL COMBINATION (3),None,,,
1151,52340,"AMINO ACID 10% (2) INJECTION, SOLUTION INTRAVENOUS 5 mg/8.9 mg/5.74 mg/3.12 mg/4.4 mg/4.7 mg/4.2 mg/1.6 mg/6.2 mg/11.5 mg/3 mg/10.5 mg/12 mg/5.6 mg/7.2 mg/5.5 mg/2.3 mg/0.4 mg/1mL 500 mL",AMINO ACID 10% (2),None,,,
1152,52384,TRACE METAL COMBINATION (2-2) INJECTION PARENTERAL 0.6958 mg/0.6815 mg/0.1979 mg/0.2046 mg/0.0053 mg/0.00789 mg/0.00242 mg/0.0166 mg/0.126 mg/1mL 10 mL,TRACE METAL COMBINATION (2-2),None,,,
1158,56,"AMINO ACID 10% PAEDIATRIC (1) INJECTION, SOLUTION INTRAVENOUS 8 mg/13 mg/8.51 mg/3.12 mg/3.75 mg/4.4 mg/2.01 mg/9 mg/7.5 mg/4.76 mg/9.3 mg/4.15 mg/0.7 mg/2.3 mg/1.6 mg/9.71 mg/7.67 mg/5.176 mg/2.26 mg/0.4 mg/1 mL/1mL 250 mL",AMINO ACID 10% PAEDIATRIC (1),None,,,
1172,52215,PNEUMOCOCCAL VACCINE 23-VALANT INJECTION PARENTERAL  0.5 mL,PNEUMOCOCCAL VACCINE 23-VALANT,None,,,
1173,17247,"ETHERIFIED STARCH INJECTION, SOLUTION PARENTERAL 6 % 500 mL",ETHERIFIED STARCH,None,,,
1174,42,PROSTAGLANDIN E1 (ALPROSTADIL) INJECTION PARENTERAL 0.5 mg/1mL 1 mL,PROSTAGLANDIN E1 (ALPROSTADIL),None,,,
1213,52695,"INFLUENZA VACCINE, INACTIVATED, TETRAVALENT INJECTION PARENTERAL 1 {dose}","INFLUENZA VACCINE, INACTIVATED, TETRAVALENT",None,,,
1215,50865,"AMINO ACID 5% (2) INJECTION, SOLUTION INTRAVENOUS 2.5 mg/3.7 mg/4.655 mg/2.15 mg/2.55 mg/2.2 mg/1 mg/3.1 mg/6 mg/1.5 mg/7 mg/5.5 mg/5.6 mg/3.25 mg/0.2 mg/0.5 mg/1mL 500 mL",AMINO ACID 5% (2),None,,,
