,generic_name,lexi_generic_id,split_by_space,,,,,,,catgs
4,ENOXAPARIN SODIUM,None,ENOXAPARIN,SODIUM,,,,,,
6,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
8,VITAMIN B1,None,VITAMIN,B1,,,,,,
9,VITAMIN B6,None,VITAMIN,B6,,,,,,
10,VITAMIN B12,None,VITAMIN,B12,,,,,,
12,LEVOTHYROXINE SODIUM,None,LEVOTHYROXINE,SODIUM,,,,,,
14,BISOPROLOL FUMARATE,None,BISOPROLOL,FUMARATE,,,,,,
18,BISOPROLOL FUMARATE,None,BISOPROLOL,FUMARATE,,,,,,
19,DONEPEZIL HYDROCHLORIDE,None,DONEPEZIL,HYDROCHLORIDE,,,,,,
20,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
22,BIOTIN,None,BIOTIN,,,,,,,
24,TAMSULOSIN HYDROCHLORIDE,None,TAMSULOSIN,HYDROCHLORIDE,,,,,,
28,ENOXAPARIN SODIUM,None,ENOXAPARIN,SODIUM,,,,,,
30,FEXOFENADINE HYDROCHLORIDE,None,FEXOFENADINE,HYDROCHLORIDE,,,,,,
32,METOPROLOL SUCCINATE,None,METOPROLOL,SUCCINATE,,,,,,
34,DONEPEZIL HYDROCHLORIDE,None,DONEPEZIL,HYDROCHLORIDE,,,,,,
35,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
37,CETIRIZINE HYDROCHLORIDE,None,CETIRIZINE,HYDROCHLORIDE,,,,,,
40,FEXOFENADINE HYDROCHLORIDE,None,FEXOFENADINE,HYDROCHLORIDE,,,,,,
48,MEBEVERINE HYDROCHLORIDE,None,MEBEVERINE,HYDROCHLORIDE,,,,,,
54,QUETIAPINE FUMARATE,None,QUETIAPINE,FUMARATE,,,,,,
56,BISOPROLOL FUMARATE,None,BISOPROLOL,FUMARATE,,,,,,
57,MESALAZINE,None,MESALAZINE,,,,,,,
68,BETAHISTINE DIHYDROCHLORIDE,None,BETAHISTINE,DIHYDROCHLORIDE,,,,,,
69,QUETIAPINE FUMARATE,None,QUETIAPINE,FUMARATE,,,,,,
70,METOPROLOL SUCCINATE,None,METOPROLOL,SUCCINATE,,,,,,
71,MYCOPHENOLATE MOFETIL,None,MYCOPHENOLATE,MOFETIL,,,,,,
76,QUETIAPINE FUMARATE,None,QUETIAPINE,FUMARATE,,,,,,
84,CYPROTERONE COMPOUND,None,CYPROTERONE,COMPOUND,,,,,,
100,CONTRACEPTIVE LD,None,CONTRACEPTIVE,LD,,,,,,
