,0,1
0,ADULT COLD PREPARATIONS (7-23),7-23
1,ANTIHISTAMINE DECONGESTANT (2),2
2,ADULT COLD PREPARATIONS (5-1),5-1
3,ADULT COLD PREPARATIONS (4-3),4-3
4,ADULT COLD PREPARATIONS (4-1),4-1
5,ADULT COLD PREPARATIONS (1-1),1-1
6,ADULT COLD PREPARATIONS (7-8),7-8
7,ADULT COLD PREPARATIONS (1-2),1-2
8,AMINO ACID 10% (1),1
9,AMINO ACID 10% (2),2
10,TRACE METAL COMBINATION (2-2),2-2
11,AMINO ACID 10% PAEDIATRIC (1),1
12,AMINO ACID 5% (2),2
13,LIPID INFUSION 20% (2),2
14,TRACE METAL COMBINATION (2-1),2-1
15,TRACE METAL COMBINATION (3),3
16,ADULT COLD PREPARATIONS (7-13),7-13
17,ADULT COLD PREPARATIONS (1-3),1-3
18,ADULT COLD PREPARATIONS (4-2),4-2
19,ADULT COLD PREPARATIONS (4-13),4-13
20,ADULT COLD PREPARATIONS (5-5),5-5
21,ADULT COLD PREPARATIONS (4-9),4-9
22,ADULT COLD PREPARATIONS (4-11),4-11
23,ADULT COLD PREPARATIONS (4-7),4-7
24,BALANCED SALT SOLUTION (2),2
25,ADULT COLD PREPARATIONS (5-3),5-3
26,ADULT COLD PREPARATIONS (1-4),1-4
27,ADULT COLD PREPARATIONS (5-4),5-4
28,ADULT COLD PREPARATIONS (4-12),4-12
29,ADULT COLD PREPARATION (6),6
30,ADULT COLD PREPARATIONS (7-22),7-22
31,ADULT COLD PREPARATIONS (3-8),3-8
32,ADULT COLD PREPARATIONS (4-4),4-4
